日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-05-26,30.3341862200,30.6281577400,30.7292104500,30.0218414800,1021993,33855579.2300,0.00,0.969100,0.00,0.341800
2023-05-29,30.8027033300,30.5914113000,30.8302631600,30.2331335100,828879,27611953.8700,1.95,-0.120000,-0.04,0.277200
2023-05-30,30.7475836700,30.3433728300,30.7475836700,29.8564825000,1012300,33272714.0000,2.91,-0.810800,-0.25,0.338600
2023-05-31,30.3433728300,30.2331335100,30.4627987600,30.0310280900,1238600,40748454.0000,1.42,-0.363300,-0.11,0.414200
2023-06-01,30.2974397800,29.6819369100,30.3709326600,29.6084440300,1602205,52254250.3500,2.52,-1.823200,-0.55,0.535900
2023-06-02,29.9245490700,30.4937406800,30.5217337100,29.3460264500,1879399,60473621.8200,3.96,2.735000,0.81,0.628600
2023-06-05,30.4937406800,30.3164514900,30.4937406800,30.1111692700,835700,27119513.0000,1.25,-0.581400,-0.18,0.279500
2023-06-06,30.2231413900,30.0925072500,30.5777197700,30.0458522000,1264000,41102740.0000,1.75,-0.738700,-0.22,0.422700
2023-06-07,29.9991971500,29.5326466500,30.1111692700,29.4113435200,817968,26030429.5000,2.33,-1.860500,-0.56,0.273600
2023-06-08,29.6632807900,29.5419776600,29.7472598800,29.3553574600,669605,21179436.5300,1.33,0.031600,0.01,0.223900
2023-06-09,29.5513086700,29.5793017000,29.7659219000,29.3366954400,942864,29854348.1300,1.45,0.126300,0.04,0.315300
2023-06-12,29.6166257400,30.0738452300,30.1391623000,29.2340543300,897192,28708529.2900,3.06,1.671900,0.49,0.300100
2023-06-13,30.0831762400,29.9991971500,30.1111692700,29.7659219000,583220,18727054.6500,1.15,-0.248200,-0.07,0.195100
2023-06-14,30.1671553300,30.2044793700,30.4284236100,29.8592320000,770414,24940804.4000,1.90,0.684300,0.21,0.257700
2023-06-15,30.1578243200,30.4377546200,30.4750786600,29.9991971500,751833,24379971.1400,1.58,0.772300,0.23,0.251400
2023-06-16,30.4937406800,30.2231413900,30.4937406800,30.0925072500,844429,27363942.8900,1.32,-0.705100,-0.21,0.282400
2023-06-19,30.2231413900,29.6446187700,30.2418034100,29.5606396800,942396,30061974.9800,2.25,-1.914200,-0.58,0.315200
2023-06-20,29.6446187700,29.6072947300,29.8219079600,29.4859916000,544411,17276548.6900,1.13,-0.125900,-0.04,0.182100
2023-06-21,29.4393365500,29.0474341300,29.7939149300,29.0287721100,852266,26799108.8400,2.58,-1.891000,-0.56,0.285000
2023-06-26,28.9261310000,28.1423261600,28.9261310000,28.0210230300,1145441,34970627.1800,3.12,-3.116000,-0.91,0.383100
2023-06-27,28.1423261600,29.3833504900,29.5139846300,28.1423261600,1374182,42795338.5200,4.87,4.409800,1.24,0.459600
2023-06-28,29.3740194800,29.4393365500,29.6072947300,28.8701449400,694287,21701196.0900,2.51,0.190500,0.06,0.232200
2023-06-29,29.5606396800,29.5793017000,29.9991971500,29.2060613000,595700,18929855.9200,2.69,0.475400,0.14,0.199200
2023-06-30,29.6259567500,29.9618731100,30.1205002800,29.5793017000,713300,22878360.1000,1.83,1.293400,0.38,0.238600
2023-07-03,29.9805351300,30.2604654300,30.4097615900,29.6726118000,851600,27558819.0000,2.46,0.996600,0.30,0.284800
2023-07-04,30.5124027000,30.2977894700,30.5497267400,30.1484933100,669624,21751872.5000,1.33,0.123300,0.04,0.224000
2023-07-05,30.2511344200,30.8763120900,31.2495524900,29.9618731100,2030574,67124598.2200,4.25,1.909500,0.58,0.679100
2023-07-06,30.8763120900,30.4750786600,31.2028974400,30.3351135100,1054766,34494591.3800,2.81,-1.299500,-0.40,0.352800
2023-07-07,30.2418034100,30.6337058300,30.9322981500,30.1484933100,1412330,46410837.6000,2.57,0.520500,0.16,0.472400
2023-07-10,30.6337058300,30.2791274500,30.8763120900,30.1858173500,820005,26726352.2000,2.25,-1.157500,-0.35,0.274200
2023-07-11,30.4470856300,30.6337058300,30.6896918900,30.2697964400,653736,21382914.5200,1.39,1.171000,0.35,0.218600
2023-07-12,30.6337058300,30.4657476500,30.7456779500,30.4097615900,588808,19275484.4400,1.10,-0.548300,-0.17,0.196900
2023-07-13,30.3817685600,30.7643399700,30.9229671400,30.3817685600,825700,27186633.6600,1.78,0.980100,0.30,0.276200
2023-07-14,30.8856431000,30.4657476500,30.9322981500,30.3817685600,638256,20954613.1700,1.79,-0.970600,-0.30,0.213500
2023-07-17,30.3444445200,30.6710298700,30.8669810800,29.8685630100,968600,31724160.0000,3.28,0.673800,0.21,0.323900
2023-07-18,30.6616988600,31.6507859200,31.9867022800,30.3257825000,2491074,83764725.3800,5.42,3.194400,0.98,0.833100
2023-07-19,31.7347650100,31.1002563300,31.7534270300,30.8949741100,1359683,45382457.7500,2.71,-1.739400,-0.55,0.454700
2023-07-20,31.0722633000,30.9602911800,31.2775455200,30.8483190600,797400,26523192.0000,1.38,-0.450000,-0.14,0.266700
2023-07-21,30.9136361300,30.7550089600,31.0442702700,30.5963817900,615767,20335047.3600,1.45,-0.663100,-0.21,0.205900
2023-07-24,30.8109950200,30.6523678500,30.8949741100,30.4750786600,745359,24452512.0600,1.37,-0.333700,-0.10,0.249300
2023-07-25,30.8016640100,30.9976152200,31.1002563300,30.6243748200,1194376,39553838.6000,1.55,1.126300,0.35,0.399500
2023-07-26,30.9976152200,31.2122284500,31.2122284500,30.8389880500,790106,26312944.3200,1.20,0.692400,0.21,0.264200
2023-07-27,31.4361726900,31.0442702700,31.6041308700,31.0162772400,1054108,35413254.3300,1.88,-0.538100,-0.17,0.352500
2023-07-28,31.0162772400,31.4455037000,31.5201517800,30.7923330000,1054546,35305719.8200,2.34,1.292500,0.40,0.352700
2023-07-31,31.4455037000,31.5854688500,31.8933921800,31.4268416800,1019324,34536192.6600,1.48,0.445100,0.14,0.340900
2023-08-01,31.4921587500,31.7347650100,31.8374061200,31.3615246100,837677,28402967.5700,1.51,0.472700,0.15,0.280200
2023-08-02,31.8187441000,31.6601169300,31.9773712700,31.3988486500,851745,28844476.3600,1.82,-0.235200,-0.07,0.284900
2023-08-03,31.4734967300,31.2588835000,31.6507859200,31.1842354200,942328,31630794.5200,1.47,-1.267300,-0.40,0.315200
2023-08-04,31.2868765300,31.2308904700,31.6041308700,31.1469113800,607000,20380342.0000,1.46,-0.089600,-0.03,0.203000
2023-08-07,31.2775455200,31.3148695600,31.3988486500,30.9509601700,646300,21615791.3800,1.43,0.268900,0.08,0.216200
2023-08-08,31.2402214800,31.1562423900,31.3521936000,30.9416291600,548545,18286397.2000,1.31,-0.506600,-0.16,0.183500
2023-08-09,31.0815943100,30.8109950200,31.1749044100,30.7736709800,538000,17821914.0000,1.29,-1.108100,-0.35,0.179900
2023-08-10,30.7923330000,31.0256082500,31.1189183500,30.7083539100,436600,14483122.0000,1.33,0.696500,0.21,0.146000
2023-08-11,31.0256082500,30.3817685600,31.2215594600,30.3444445200,687900,22603613.0000,2.83,-2.075200,-0.64,0.230100
2023-08-14,30.3257825000,30.1018382600,30.3257825000,29.7472598800,828000,26616250.0000,1.90,-0.921400,-0.28,0.276900
2023-08-15,30.3351135100,29.8872250300,30.3351135100,29.6259567500,575600,18422666.0000,2.36,-0.713000,-0.21,0.192500
2023-08-16,29.8405699800,29.5513086700,29.9152180600,29.5046536200,470367,14942087.6400,1.37,-1.123900,-0.34,0.157300
2023-08-17,29.6539497800,29.5419776600,29.7472598800,29.1407442300,1022456,32348974.9200,2.05,-0.031600,-0.01,0.342000
2023-08-18,29.5419776600,29.1594062500,29.8405699800,29.1594062500,981877,30960546.8200,2.31,-1.295000,-0.38,0.328400
2023-08-21,29.1407442300,28.7021867600,29.3740194800,28.6928557500,937253,29102824.3000,2.34,-1.568000,-0.46,0.313500
2023-08-22,28.6928557500,28.8234898900,29.1127512000,28.3289463600,788076,24221445.8800,2.73,0.422600,0.12,0.263600
2023-08-23,29.0287721100,28.3289463600,29.0660961500,28.3289463600,759176,23229856.2400,2.56,-1.715800,-0.49,0.253900
2023-08-24,28.1796502000,28.4222564600,28.9914480700,28.0676780800,896400,27394244.0000,3.26,0.329400,0.09,0.299800
2023-08-25,28.4315874700,28.1516571700,28.8048278700,28.0863401000,858656,26114870.7200,2.53,-0.952100,-0.27,0.287200
2023-08-28,29.4486675600,28.3756014100,29.7192668500,28.2729603000,1304748,40401736.9700,5.14,0.795500,0.22,0.436400
2023-08-29,28.4969045400,28.9354620100,28.9727860500,28.2822913100,1325400,40699645.6700,2.43,1.973000,0.56,0.443300
2023-08-30,28.9167999900,28.5528906000,29.3740194800,28.3476083800,2260865,69621823.3500,3.55,-1.322200,-0.38,0.756100
2023-08-31,28.5435595900,28.4129254500,28.6928557500,28.3756014100,1024400,31279961.0000,1.11,-0.490200,-0.14,0.342600
2023-09-01,28.4129254500,28.8328209000,29.0474341300,28.3756014100,1749195,53951287.0800,2.36,1.477800,0.42,0.585000
2023-09-04,28.8794759500,31.7161029900,31.7161029900,28.8794759500,5417524,178365644.3200,9.84,10.000000,2.88,1.811900
2023-09-05,31.7161029900,32.1826534900,32.4625837900,31.2868765300,4788297,163717818.1700,3.71,1.471000,0.47,1.601400
2023-09-06,32.1919845000,32.7705071200,32.8451552000,32.0333573300,3385575,118032046.6600,2.52,1.826600,0.59,1.132300
2023-09-07,32.6958590400,32.1639914700,32.7145210600,31.9120542000,2709200,93586579.0000,2.45,-1.850800,-0.61,0.906100
2023-09-08,31.8560681400,31.7347650100,32.2946256100,31.7254340000,1555800,53197640.0000,1.77,-1.334500,-0.43,0.520300
2023-09-11,31.6227928900,31.3335315800,31.8560681400,31.2402214800,2120300,71409211.0000,1.94,-1.264300,-0.40,0.709100
2023-09-12,31.2028974400,31.2588835000,31.6694479400,31.0815943100,1319242,44412276.8800,1.88,-0.238200,-0.07,0.441200
2023-09-13,31.1655734000,31.2588835000,31.9120542000,31.0909253200,2180115,73819901.9300,2.63,0.000000,0.00,0.729100
2023-09-14,31.3428625900,31.8840611700,32.1733224800,31.2588835000,1868787,63706371.5000,2.93,2.000000,0.63,0.625000
2023-09-15,31.9120542000,32.4719148000,32.4719148000,31.5388138000,2409539,82792493.7000,2.93,1.843700,0.59,0.805900
2023-09-18,32.1359984400,31.2775455200,32.1359984400,30.8296570400,2952481,99011575.7900,4.02,-3.678200,-1.19,0.987500
2023-09-19,31.3615246100,32.2479705600,32.4345907600,31.2028974400,2707611,92829142.8400,3.94,3.102600,0.97,0.905600
2023-09-20,32.2479705600,32.2852946000,32.4065977300,31.7814200600,1646900,56641373.0000,1.94,0.115700,0.04,0.550800
2023-09-21,32.2759635900,32.0053643000,32.4532527800,31.9307162200,1246459,42904648.1200,1.62,-0.867100,-0.28,0.416900
2023-09-22,32.0146953100,31.7161029900,32.1359984400,31.5668068300,1019930,34731732.1200,1.78,-0.903800,-0.29,0.341100
2023-09-25,31.6321239000,31.5668068300,31.8467371300,31.4641657200,861266,29177981.4800,1.21,-0.470700,-0.15,0.288000
2023-09-26,31.5947998600,31.3521936000,31.8653991500,31.2588835000,766110,25810755.1800,1.92,-0.679900,-0.21,0.256200
2023-09-27,31.3335315800,31.3895176400,31.6227928900,31.1282493600,728358,24458061.3800,1.58,0.119000,0.04,0.243600
2023-09-28,31.4368710100,32.1377834700,32.3840500100,31.2853223700,1207322,40626628.8300,3.50,2.383800,0.75,0.403800
2023-10-09,32.2040860000,31.5694760700,32.2040860000,31.2947941600,986797,32824102.7000,2.83,-1.768300,-0.57,0.330000
2023-10-10,31.5600042800,31.7683836600,31.8631015600,31.4652863800,732400,24514470.0000,1.26,0.630100,0.20,0.244900
2023-10-11,31.8062708200,31.7020811300,32.1472552600,31.5126453300,783158,26309044.8200,2.00,-0.208700,-0.07,0.261900
2023-10-12,31.6831375500,32.2798603200,32.6208447600,31.4179274300,1517010,51108648.7000,3.79,1.822500,0.58,0.507400
2023-10-13,32.8671113000,31.6831375500,33.1133778400,31.2474352100,1712909,57789045.5800,5.78,-1.848600,-0.60,0.572900
2023-10-16,31.8062708200,31.3989838500,32.4029935900,31.1906044700,1287300,42962716.8000,3.83,-0.896900,-0.28,0.430500
2023-10-17,31.6357786000,30.9727533000,31.6357786000,30.8780354000,1014500,33300876.0000,2.41,-1.357500,-0.43,0.339300
2023-10-18,30.9727533000,30.4896920100,31.1621891000,30.3286715800,844479,27303799.9500,2.69,-1.559600,-0.48,0.282400
2023-10-19,30.3097280000,30.0350460900,30.4896920100,29.9403281900,832650,26494047.0000,1.80,-1.491100,-0.45,0.278500
2023-10-20,29.9403281900,29.2204721500,30.0918768300,28.8037133900,2723446,84445767.1000,4.29,-2.712100,-0.81,0.910900
2023-10-23,29.2110003600,28.6521647500,29.3341336300,28.5100879000,1356500,41267988.0000,2.82,-1.944900,-0.57,0.453700
2023-10-24,28.6332211700,28.9363184500,29.0878670900,28.3206521000,1705200,51695689.0000,2.68,0.991700,0.28,0.570300
2023-10-25,29.2678311000,29.8740256600,30.4044459000,29.0120927700,1698367,53639722.5000,4.81,3.240600,0.94,0.568000
2023-10-26,29.8361385000,29.5804001700,29.8361385000,28.7847698100,1717883,53080810.0600,3.52,-0.982900,-0.29,0.574500
2023-10-27,29.9119128200,30.5370509600,30.6412406500,29.3625490000,2400878,76811293.5900,4.32,3.234100,0.96,0.803000
2023-10-30,30.5370509600,30.4328612700,30.7833175000,30.1487075700,1420300,45551797.6600,2.08,-0.341200,-0.10,0.475000
2023-10-31,30.5275791700,31.3042659500,31.4273992200,30.4991638000,1663789,54720484.1200,3.05,2.863400,0.87,0.556500
2023-11-01,31.3989838500,31.6168350200,31.8062708200,31.2379634200,1355390,45087772.7600,1.82,0.998500,0.31,0.453300
2023-11-02,31.5410607000,31.5031735400,31.8252144000,31.4084556400,1056195,35234704.0400,1.32,-0.359500,-0.11,0.353200
2023-11-03,31.3516249000,31.3516249000,31.6926093400,31.2569070000,1022900,33939241.0000,1.38,-0.481100,-0.15,0.342100
2023-11-06,31.6073632300,31.4179274300,31.6641939700,31.1432455200,1161302,38490189.7600,1.66,0.211500,0.07,0.388400
2023-11-07,31.4463428000,31.3232095300,31.4463428000,30.9632815100,936372,30810339.2000,1.54,-0.301500,-0.09,0.313200
2023-11-08,31.3421531100,31.3705684800,31.5789478600,31.1243019400,1215102,40304161.2400,1.45,0.151200,0.05,0.406400
2023-11-09,31.3705684800,31.5978914400,31.7210247100,31.1811326800,1156000,38330261.0000,1.72,0.724600,0.23,0.386600
2023-11-10,31.3989838500,31.3895120600,31.5315889100,31.0390558300,725300,23974644.0000,1.56,-0.659500,-0.21,0.242600
2023-11-13,31.3895120600,31.5694760700,31.6736657600,31.2000762600,957300,31777734.0000,1.51,0.573300,0.18,0.320200
2023-11-14,31.6926093400,31.3326813200,31.6926093400,31.2000762600,770700,25506195.0000,1.56,-0.750100,-0.24,0.257800
2023-11-15,31.5600042800,31.8252144000,31.9199323000,31.5410607000,1072402,35980279.2000,1.21,1.571900,0.49,0.358700
2023-11-16,31.8252144000,31.6641939700,31.9388758800,31.6263068100,639346,21445264.3200,0.98,-0.506000,-0.16,0.213800
2023-11-17,31.7020811300,32.0998963100,32.3082756900,31.6073632300,1405100,47485102.0600,2.21,1.376000,0.44,0.469900
2023-11-20,32.3082756900,32.2893321100,32.3745782200,31.7304965000,900101,30468413.8500,2.01,0.590100,0.19,0.301000
2023-11-21,32.3651064300,32.0146502000,32.3935218000,31.9294040900,533000,18080732.0000,1.44,-0.850700,-0.27,0.178300
2023-11-22,31.9104605100,31.7873272400,32.1756706300,31.7778554500,564500,19041577.0000,1.24,-0.710100,-0.23,0.188800
2023-11-23,31.7967990300,32.0998963100,32.2703885300,31.5505324900,644600,21822811.0000,2.26,0.983300,0.31,0.215600
2023-11-24,32.1188398900,31.8536297700,32.2040860000,31.7304965000,633900,21309363.0000,1.48,-0.767200,-0.25,0.212000
2023-11-27,31.9104605100,31.7778554500,32.0620091500,31.5789478600,787690,26461937.3000,1.52,-0.237900,-0.08,0.263400
2023-11-28,31.7589118700,32.0335937800,32.1093681000,31.6357786000,591906,19976396.5400,1.49,0.804800,0.26,0.198000
2023-11-29,32.1093681000,31.9767630400,32.2988039000,31.9009887200,467006,15831632.4400,1.24,-0.177400,-0.06,0.156200
2023-11-30,32.0430655700,30.7738457100,32.0620091500,30.6980713900,3111565,101756155.7500,4.27,-3.761800,-1.20,1.040700
2023-12-01,30.7833175000,30.8590918200,31.1243019400,30.5370509600,1691200,54990483.0000,1.91,0.277000,0.09,0.565600
2023-12-04,31.0390558300,30.9253943500,31.3137377400,30.8590918200,1004400,32926837.0000,1.47,0.214900,0.07,0.335900
2023-12-05,30.8022610800,30.5181073800,30.9159225600,30.4802202200,906400,29393353.0000,1.41,-1.317000,-0.41,0.303100
2023-12-06,30.3381433700,30.5181073800,30.9159225600,30.3097280000,856900,27738398.0000,1.99,0.000000,0.00,0.286600
2023-12-07,30.5181073800,30.3097280000,30.5654663300,30.0539896700,980900,31385491.0000,1.68,-0.682800,-0.21,0.328100
2023-12-08,30.4991638000,30.3191997900,30.6128252800,30.2055383100,873352,28034363.5200,1.34,0.031300,0.01,0.292100
2023-12-11,30.4233894800,30.6412406500,30.7833175000,29.7982513400,1179706,37804619.9200,3.25,1.062200,0.32,0.394600
2023-12-12,30.7454303400,30.4518048500,30.7454303400,30.2339536800,692100,22204494.0000,1.67,-0.618200,-0.19,0.231500
2023-12-13,30.3381433700,30.2528972600,30.5844099100,30.1013486200,776956,24909681.2000,1.59,-0.653200,-0.20,0.259900
2023-12-14,30.2813126300,30.1202922000,30.4991638000,30.1108204100,681900,21783094.0000,1.28,-0.438300,-0.13,0.228100
2023-12-15,30.0918768300,29.9876871400,30.4991638000,29.9782153500,722760,23000929.8000,1.73,-0.440300,-0.13,0.241700
2023-12-18,29.9308564000,29.6182873300,30.1297639900,29.4856822700,1240200,38808520.0000,2.15,-1.231800,-0.37,0.414800
2023-12-19,29.6561744900,29.5993437500,29.6940616500,29.3436054200,638300,19882561.4000,1.18,-0.064000,-0.02,0.213500
2023-12-20,29.6656462800,29.5993437500,29.8929692400,29.5425130100,652100,20464287.4900,1.18,0.000000,0.00,0.218100
2023-12-21,29.5519848000,29.5804001700,29.7603641800,29.1068106700,970037,30158918.4900,2.21,-0.064000,-0.02,0.324400
2023-12-22,29.5804001700,29.7035334400,29.9876871400,29.0973388800,1060581,33068352.2500,3.01,0.416300,0.12,0.354700
2023-12-25,29.6467027000,29.4762104800,30.3665587400,29.1068106700,1651510,51338752.1800,4.24,-0.765300,-0.23,0.552300
2023-12-26,29.5993437500,28.9647338200,29.5993437500,28.9268466600,1307581,40262346.4100,2.28,-1.735200,-0.51,0.437300
2023-12-27,28.9457902400,29.3625490000,29.4477951100,28.7279390700,1142000,35127840.0000,2.49,1.373400,0.40,0.381900
2023-12-28,29.3625490000,29.9119128200,30.1960665200,29.3246618400,1571393,49545561.6000,2.97,1.871000,0.55,0.525500
2023-12-29,29.9308564000,29.9876871400,30.1013486200,29.7130052300,1677200,52939010.0000,1.30,0.253300,0.08,0.560900
2024-01-02,30.0634614600,30.2339536800,30.4802202200,29.8266667100,1435334,45737489.3000,2.18,0.821200,0.25,0.480000
2024-01-03,30.0255743000,30.3381433700,30.4802202200,30.0255743000,845400,27041962.0000,1.50,0.344600,0.10,0.282700
2024-01-04,30.3097280000,30.3760305300,30.5181073800,30.0729332500,1234700,39506664.0000,1.47,0.124900,0.04,0.412900
2024-01-05,30.3097280000,30.1865947300,30.6696560200,30.1392357800,971700,31193871.0000,1.75,-0.623600,-0.19,0.325000
2024-01-08,30.0729332500,29.4288515300,30.1676511500,29.4288515300,1010900,31697218.1700,2.45,-2.510200,-0.76,0.338100
2024-01-09,29.4288515300,29.4762104800,29.7414206000,29.1825849900,715307,22232604.8600,1.90,0.160900,0.05,0.239200
2024-01-10,29.3814925800,29.2773028900,29.8171949200,29.1257542500,749300,23261260.7100,2.35,-0.674800,-0.20,0.250600
2024-01-11,29.3341336300,29.5140976400,29.7319488100,29.1636414100,789900,24525517.6500,1.94,0.808800,0.24,0.264200
2024-01-12,29.6751180700,29.6467027000,29.9782153500,29.3814925800,566277,17788443.3300,2.02,0.449300,0.13,0.189400
2024-01-15,29.7508923900,29.2204721500,29.7508923900,29.1636414100,787362,24451900.4300,1.98,-1.437700,-0.43,0.263300
2024-01-16,29.2678311000,29.1541696200,29.3909643700,28.8700159200,773500,23748865.7800,1.78,-0.226900,-0.07,0.258700
2024-01-17,29.1352260400,28.4437853700,29.3151900500,28.4437853700,849168,25831328.4000,2.99,-2.436600,-0.71,0.284000
2024-01-18,28.1596316700,27.8754779700,28.3111803100,27.1461501400,1968499,57269576.5000,4.10,-1.998000,-0.57,0.658400
2024-01-19,27.8281190200,27.5629089000,28.1406880900,27.4871345800,1245724,36484555.9400,2.34,-1.121300,-0.31,0.416600
2024-01-22,27.4681910000,25.7916841700,27.4681910000,25.4980586800,2762504,77084223.3200,7.15,-6.426100,-1.77,0.923900
2024-01-23,25.8011559600,25.9527046000,26.0663660800,25.2139049800,1424000,38698013.0000,3.31,0.624300,0.16,0.476300
2024-01-24,26.0947814500,26.2084429300,26.4168223100,25.2896793000,1177800,32253959.0000,4.34,0.985400,0.26,0.393900
2024-01-25,26.3789351500,27.4208320500,27.4587192100,26.1894993500,1296912,36868579.0200,4.84,4.625900,1.21,0.433700
2024-01-26,27.4681910000,27.3071705700,27.8565343900,27.1935090900,1162696,33775243.3200,2.42,-0.414500,-0.11,0.388900
2024-01-29,27.6955139600,26.9661861300,27.6955139600,26.9377707600,1031600,29700998.0000,2.77,-1.248700,-0.34,0.345000
2024-01-30,27.0893194000,26.3221044100,27.1556219300,26.2842172500,1061100,30048312.0000,3.23,-2.388500,-0.64,0.354900
2024-01-31,26.1231968200,25.3938689900,26.3789351500,25.1191870800,1316287,35602557.4800,4.79,-3.526400,-0.93,0.440200
2024-02-01,24.7024283200,25.0907717100,25.5548894200,24.3898592500,1839300,48667782.5700,4.59,-1.193600,-0.30,0.615200
2024-02-02,25.0055256000,24.2004234500,25.6401355300,23.2058855000,1556393,40427615.1100,9.70,-3.548500,-0.89,0.520500
2024-02-05,23.7173621600,22.9785625400,24.2004234500,22.1545168100,2693269,65170253.7400,8.45,-5.048900,-1.22,0.900800
2024-02-06,22.7417677900,24.8160898000,24.8729205400,22.3628961900,2478188,61792605.6600,10.92,7.996700,1.84,0.828800
2024-02-07,24.9392230700,26.2368583000,26.7104478000,24.8445051700,2749203,75823207.7800,7.52,5.725200,1.42,0.919500
2024-02-08,26.1989711400,27.5913242700,28.0838573500,26.0853096600,2640148,76500762.9700,7.62,5.162500,1.35,0.883000
2024-02-19,27.6007960600,28.0649137700,28.9647338200,27.3924166800,2912012,86943518.9300,5.70,1.716400,0.47,0.973900
2024-02-20,28.1596316700,27.5250217400,28.2922367300,27.0419604500,1408800,40696558.0000,4.45,-1.923700,-0.54,0.471200
2024-02-21,27.2313962500,27.6860421700,28.3680110500,27.1461501400,1265616,37201327.1400,4.44,0.585000,0.16,0.423300
2024-02-22,27.6860421700,27.7334011200,27.9512522900,27.4208320500,1130890,33024834.9000,1.92,0.171100,0.05,0.378200
2024-02-23,27.7902318600,27.9038933400,27.9228369200,27.3355859400,1533400,44691007.0000,2.12,0.614800,0.17,0.512800
2024-02-26,27.8849497600,27.8470626000,28.3017085200,27.6197396400,1585657,46840663.5200,2.44,-0.203700,-0.06,0.530300
2024-02-27,27.7239293300,28.1122727200,28.1122727200,27.3734731000,1208900,35404121.0000,2.65,0.952400,0.27,0.404300
2024-02-28,27.9417805000,27.1461501400,28.6805801200,27.1461501400,1728863,50993456.8100,5.46,-3.436700,-0.97,0.578200
2024-02-29,27.0893194000,27.8470626000,27.9038933400,26.9093553900,1471507,42689701.0700,3.66,2.582000,0.70,0.492100
2024-03-01,27.8375908100,27.6860421700,27.9228369200,27.3829448900,1338900,39074664.0000,1.94,-0.578200,-0.16,0.447800
2024-03-04,27.4871345800,27.7712882800,27.9891394500,27.4871345800,1190637,34812582.3500,1.81,0.307900,0.09,0.398200
2024-03-05,27.8470626000,27.4776627900,28.0838573500,27.3734731000,1023400,29898612.0000,2.56,-1.057300,-0.29,0.342300
2024-03-06,27.3166423600,27.5534371100,27.8565343900,27.0514322400,1185500,34365634.0000,2.93,0.275800,0.08,0.396500
2024-03-07,27.5629089000,27.7997036500,28.5195596900,27.5060781600,1743060,51764495.4000,3.68,0.893800,0.25,0.583000
2024-03-08,27.8470626000,27.8565343900,28.1785752500,27.5250217400,1459900,42821600.0000,2.35,0.204400,0.06,0.488300
2024-03-11,27.8470626000,28.3301238900,28.3301238900,27.7334011200,1307810,38707901.0200,2.14,1.700100,0.47,0.437400
2024-03-12,28.3585392600,28.2259342000,28.4437853700,27.9417805000,1011600,30072318.9000,1.77,-0.367800,-0.10,0.338300
2024-03-13,28.2732931500,28.4911443200,28.6521647500,27.9607240800,1329067,39746384.3300,2.45,0.939600,0.27,0.444500
2024-03-14,28.6711083300,28.3017085200,29.0215645600,28.0838573500,1273800,38421463.0000,3.29,-0.664900,-0.19,0.426000
2024-03-15,28.2827649400,29.1920567800,29.1920567800,28.0364984000,1622287,49176781.0300,4.08,3.145900,0.89,0.542600
2024-03-18,29.1541696200,29.4951540600,29.5330412200,28.9647338200,1672500,51557118.0000,1.95,1.038300,0.30,0.559400
2024-03-19,29.2394157300,30.1202922000,30.3760305300,29.1068106700,2506403,79643394.8300,4.30,2.119500,0.63,0.838300
2024-03-20,30.0066307200,30.5465227500,30.7359585500,29.9687435600,2089500,67001421.0000,2.55,1.415100,0.43,0.698800
2024-03-21,30.6791278100,30.4233894800,30.8969789800,30.1487075700,1352525,43516920.7500,2.45,-0.403100,-0.12,0.452300
2024-03-22,30.4328612700,30.1297639900,30.4328612700,29.4762104800,2288387,72281687.7700,3.14,-0.965100,-0.29,0.765300
2024-03-25,29.7319488100,29.4762104800,30.2055383100,29.4762104800,1191900,37478241.0000,2.42,-2.169100,-0.65,0.398600
2024-03-26,29.4762104800,29.5898719600,29.7224770200,29.1731132000,1138100,35370554.0000,1.86,0.385600,0.11,0.380600
2024-03-27,29.5993437500,29.3151900500,30.1771229400,29.3151900500,1241700,39128737.0000,2.91,-0.928300,-0.27,0.415300
2024-03-28,29.0026209800,29.5425130100,29.8171949200,29.0026209800,862300,26822112.0000,2.78,0.775400,0.23,0.288400
2024-03-29,30.0255743000,30.6601842300,30.7359585500,29.6088155400,1360900,43655652.0000,3.82,3.783300,1.12,0.455200
2024-04-01,30.7738457100,31.1148301500,31.2474352100,30.4991638000,1512929,49553569.7800,2.44,1.482900,0.45,0.506000
2024-04-02,31.1148301500,31.7304965000,31.8157426100,31.1053583600,1829100,61021134.1500,2.28,1.978700,0.62,0.611700
2024-04-03,31.8820451400,32.0146502000,32.3556346400,31.5694760700,2258590,76111304.8000,2.48,0.895500,0.28,0.755400
2024-04-08,32.2325013700,32.2325013700,33.0186599400,32.1472552600,3290006,113136549.9900,2.72,0.680500,0.22,1.100300
2024-04-09,32.2893321100,33.0281317300,33.1891521600,32.1188398900,2224972,76947100.4400,3.32,2.468400,0.80,0.744100
2024-04-10,32.9334138300,32.6397883400,33.5017212300,32.5355986500,2223100,77308934.0000,2.93,-1.175800,-0.39,0.743500
2024-04-11,32.3461628500,32.9713009900,33.6059109200,32.2609167400,2010306,69960817.5600,4.12,1.015700,0.33,0.672300
2024-04-12,33.1512650000,32.9049984600,33.2080957400,32.5071832800,1465472,50803711.8400,2.13,-0.201100,-0.07,0.490100
2024-04-15,32.7155626600,32.9239420400,33.0944342600,31.8725733500,1873811,64638213.9900,3.71,0.057600,0.02,0.626700
