trade_date,ts_code,name,level,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-01-03,857641.SI,游戏Ⅲ,L3,1668.88,1645.89,1722.14,1708.58,40.77,2.44,119557.0,815442.0,29.92,2.08,18649900.0,30148700.0
2023-01-04,857641.SI,游戏Ⅲ,L3,1714.13,1698.42,1774.85,1755.44,46.86,2.74,137099.0,1043030.0,30.75,2.14,19161400.0,30983200.0
2023-01-05,857641.SI,游戏Ⅲ,L3,1756.44,1736.94,1820.38,1770.31,14.86,0.85,119674.0,1015280.0,31.01,2.15,19323700.0,31258400.0
2023-01-06,857641.SI,游戏Ⅲ,L3,1767.94,1729.94,1784.96,1749.19,-21.12,-1.19,87410.0,676675.0,30.69,2.12,19156500.0,30896300.0
2023-01-09,857641.SI,游戏Ⅲ,L3,1751.18,1741.17,1793.45,1770.47,21.28,1.22,69107.0,598339.0,31.07,2.15,19389600.0,31273300.0
2023-01-10,857641.SI,游戏Ⅲ,L3,1770.26,1749.17,1817.3,1799.54,29.06,1.64,79335.0,652807.0,31.58,2.18,19707800.0,31788900.0
2023-01-11,857641.SI,游戏Ⅲ,L3,1800.09,1749.54,1812.17,1758.12,-41.42,-2.3,82210.0,644946.0,30.85,2.13,19254300.0,31063600.0
2023-01-12,857641.SI,游戏Ⅲ,L3,1763.3,1735.88,1781.43,1757.1,-1.02,-0.06,65290.0,510338.0,30.83,2.13,19243100.0,31042600.0
2023-01-13,857641.SI,游戏Ⅲ,L3,1760.22,1739.14,1774.77,1763.62,6.53,0.37,51828.0,404745.0,30.95,2.14,19314500.0,31156500.0
2023-01-16,857641.SI,游戏Ⅲ,L3,1767.44,1741.85,1792.75,1766.92,3.3,0.19,70003.0,525069.0,31.0,2.14,19350600.0,31231300.0
2023-01-17,857641.SI,游戏Ⅲ,L3,1771.49,1737.3,1783.8,1753.58,-13.34,-0.76,60904.0,459170.0,30.78,2.13,19204600.0,31020300.0
2023-01-18,857641.SI,游戏Ⅲ,L3,1776.97,1761.84,1834.32,1802.61,49.03,2.8,104945.0,836849.0,31.64,2.18,19741700.0,31889700.0
2023-01-19,857641.SI,游戏Ⅲ,L3,1792.34,1772.1,1826.96,1814.13,11.52,0.64,68881.0,554067.0,31.84,2.2,19867800.0,32108200.0
2023-01-20,857641.SI,游戏Ⅲ,L3,1815.29,1795.68,1835.72,1821.74,7.61,0.42,66265.0,482411.0,31.98,2.21,19951200.0,32225200.0
2023-01-30,857641.SI,游戏Ⅲ,L3,1845.33,1806.55,1868.71,1820.39,-1.35,-0.07,102105.0,767680.0,31.95,2.21,19936400.0,32188700.0
2023-01-31,857641.SI,游戏Ⅲ,L3,1808.85,1785.04,1848.21,1823.29,2.9,0.16,88497.0,658112.0,32.0,2.21,19968100.0,32233300.0
2023-02-01,857641.SI,游戏Ⅲ,L3,1827.52,1804.93,1889.54,1877.96,54.67,3.0,134552.0,908113.0,32.96,2.28,20567300.0,33136500.0
2023-02-02,857641.SI,游戏Ⅲ,L3,1887.62,1863.12,1943.95,1902.22,24.26,1.29,156436.0,1197250.0,33.39,2.31,20833000.0,33570900.0
2023-02-03,857641.SI,游戏Ⅲ,L3,1898.31,1887.28,1958.99,1937.94,35.71,1.88,134532.0,1013980.0,34.02,2.35,21224100.0,34184900.0
2023-02-06,857641.SI,游戏Ⅲ,L3,1947.46,1918.8,2019.55,1986.57,48.63,2.51,150107.0,1266820.0,34.87,2.41,21756800.0,35026700.0
2023-02-07,857641.SI,游戏Ⅲ,L3,1983.54,1952.71,2070.54,2031.83,45.26,2.28,165385.0,1385340.0,35.66,2.46,22252400.0,35760900.0
2023-02-08,857641.SI,游戏Ⅲ,L3,2036.29,1968.7,2051.34,1987.44,-44.38,-2.18,178439.0,1344140.0,34.89,2.41,21766300.0,34988700.0
2023-02-09,857641.SI,游戏Ⅲ,L3,1974.46,1945.69,2057.06,2038.14,50.7,2.55,170297.0,1311070.0,35.78,2.47,22321600.0,35866200.0
2023-02-10,857641.SI,游戏Ⅲ,L3,2041.16,2004.13,2107.06,2027.91,-10.23,-0.5,202119.0,1677320.0,35.28,2.46,22346500.0,35680000.0
2023-02-13,857641.SI,游戏Ⅲ,L3,2031.89,2006.79,2098.83,2072.44,44.53,2.2,192038.0,1619220.0,36.05,2.52,22837200.0,36446500.0
2023-02-14,857641.SI,游戏Ⅲ,L3,2064.96,2024.35,2104.9,2055.14,-17.3,-0.83,161727.0,1343840.0,35.75,2.5,22646500.0,36162000.0
2023-02-15,857641.SI,游戏Ⅲ,L3,2056.42,2030.48,2129.59,2101.5,46.36,2.26,202453.0,1692230.0,36.56,2.55,23157400.0,36991900.0
2023-02-16,857641.SI,游戏Ⅲ,L3,2099.03,2065.66,2227.08,2119.06,17.56,0.84,325991.0,2681860.0,36.87,2.58,23353700.0,37297200.0
2023-02-17,857641.SI,游戏Ⅲ,L3,2131.76,2037.57,2167.58,2068.5,-50.56,-2.39,294834.0,2116110.0,36.0,2.51,22801900.0,36398400.0
2023-02-20,857641.SI,游戏Ⅲ,L3,2086.52,2060.0,2194.66,2170.07,101.57,4.91,293173.0,2346140.0,37.77,2.64,23921600.0,38211800.0
2023-02-21,857641.SI,游戏Ⅲ,L3,2163.11,2084.39,2196.82,2117.85,-52.22,-2.41,259331.0,2028050.0,36.86,2.57,23346000.0,37289900.0
2023-02-22,857641.SI,游戏Ⅲ,L3,2098.2,2042.23,2127.54,2092.32,-25.53,-1.21,190407.0,1427070.0,36.41,2.54,23064500.0,36870200.0
2023-02-23,857641.SI,游戏Ⅲ,L3,2093.09,2020.23,2112.2,2051.93,-40.39,-1.93,195899.0,1489750.0,35.71,2.49,22619400.0,36156900.0
2023-02-24,857641.SI,游戏Ⅲ,L3,2054.04,2027.49,2094.81,2058.89,6.96,0.34,171694.0,1265990.0,35.83,2.5,22696000.0,36307000.0
2023-02-27,857641.SI,游戏Ⅲ,L3,2052.91,1999.97,2084.03,2014.69,-44.2,-2.15,163335.0,1199670.0,35.06,2.45,22208800.0,35544100.0
2023-02-28,857641.SI,游戏Ⅲ,L3,2028.93,1977.89,2051.05,2024.35,9.66,0.48,145137.0,1167630.0,35.23,2.46,22315300.0,35724300.0
2023-03-01,857641.SI,游戏Ⅲ,L3,2020.56,2008.95,2142.17,2119.07,94.72,4.68,214116.0,1834350.0,36.88,2.57,23360100.0,37349100.0
2023-03-02,857641.SI,游戏Ⅲ,L3,2120.83,2099.67,2203.79,2175.09,56.02,2.64,254229.0,2022830.0,37.85,2.64,23977700.0,38345200.0
2023-03-03,857641.SI,游戏Ⅲ,L3,2152.37,2114.04,2199.85,2156.84,-18.26,-0.84,202107.0,1642490.0,37.56,2.62,23791400.0,38060700.0
2023-03-06,857641.SI,游戏Ⅲ,L3,2157.68,2107.69,2189.56,2137.3,-19.53,-0.91,145296.0,1257580.0,37.22,2.6,23575900.0,37758500.0
2023-03-07,857641.SI,游戏Ⅲ,L3,2139.02,2072.68,2163.53,2083.38,-53.92,-2.52,159369.0,1322320.0,36.28,2.53,22981200.0,36830000.0
2023-03-08,857641.SI,游戏Ⅲ,L3,2074.31,2057.75,2126.78,2106.95,23.57,1.13,125491.0,1017560.0,36.69,2.56,23241200.0,37249200.0
2023-03-09,857641.SI,游戏Ⅲ,L3,2101.79,2054.48,2124.27,2093.8,-13.15,-0.62,134995.0,1069850.0,36.46,2.54,23096100.0,36992500.0
2023-03-10,857641.SI,游戏Ⅲ,L3,2070.01,2040.16,2106.86,2054.2,-39.61,-1.89,133197.0,1051260.0,35.77,2.5,22659200.0,36300500.0
2023-03-13,857641.SI,游戏Ⅲ,L3,2056.58,2017.65,2117.61,2106.4,52.21,2.54,154913.0,1291490.0,36.68,2.56,23235100.0,37235800.0
2023-03-14,857641.SI,游戏Ⅲ,L3,2102.99,2044.09,2146.08,2074.93,-31.47,-1.49,155667.0,1353270.0,36.13,2.52,22888000.0,36682400.0
2023-03-15,857641.SI,游戏Ⅲ,L3,2092.31,2044.65,2119.33,2059.92,-15.01,-0.72,115142.0,991707.0,35.87,2.5,22722400.0,36435400.0
2023-03-16,857641.SI,游戏Ⅲ,L3,2047.03,2002.58,2121.37,2080.77,20.84,1.01,157248.0,1467780.0,36.23,2.53,22952300.0,36809900.0
2023-03-17,857641.SI,游戏Ⅲ,L3,2098.41,2094.41,2236.4,2206.67,125.9,6.05,246429.0,2358550.0,38.43,2.68,24341100.0,39007300.0
2023-03-20,857641.SI,游戏Ⅲ,L3,2285.15,2248.08,2388.61,2295.68,89.01,4.03,299938.0,3142450.0,39.98,2.79,25323000.0,40542100.0
2023-03-21,857641.SI,游戏Ⅲ,L3,2290.39,2269.5,2419.1,2369.81,74.13,3.23,247307.0,2565960.0,41.27,2.88,26140700.0,41831700.0
2023-03-22,857641.SI,游戏Ⅲ,L3,2364.06,2317.5,2474.24,2453.1,83.28,3.51,279165.0,2817500.0,42.72,2.98,27059400.0,43322100.0
